forecast_date,day_name,is_weekend,cluster,cluster_enc,day_of_week,week,avg_priority,peak_hour_frac,rolling_7_mean,rolling_7_std,rolling_7_max,spike_probability,predicted_spike,top_junction,risk_score,risk_tier,center_lat,center_lon,alert_level,recommended_deploy_hour,dispatch_instruction
2024-04-09,Tue,0,384,317,1,15,3.357142857142857,0.2857142857142857,3.5714285714285716,5.50324579550235,16,0.681,1,BTP042 - Minsk Square Junction (CTO),5.24,🟠 HIGH,12.980804211206896,77.59716946982759,🟠 HIGH,22,⚠️ DEPLOY 1 unit at 22:00. Issue penalties. Zone: BTP042 - Minsk Square Junction (CTO)
2024-04-09,Tue,0,768,743,1,15,2.9833333333333334,0.4666666666666666,3.8,2.588435821108957,7,0.681,1,No Junction,4.69,🟠 HIGH,13.06778309473684,77.58032464736841,🟠 HIGH,8,⚠️ DEPLOY 1 unit at 8:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,802,782,1,15,2.25,0.25,4.25,5.188127472091127,12,0.68,1,No Junction,1.62,🟢 LOW,13.013271911764704,77.69912302352941,🟠 HIGH,6,⚠️ DEPLOY 1 unit at 6:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,434,373,1,15,3.1326530612244894,0.2755102040816327,3.4285714285714284,4.7207747548166585,14,0.679,1,BTP074 - Leprosy Hospital Junction,6.83,🟠 HIGH,12.974203763829786,77.56624664468086,🟠 HIGH,23,⚠️ DEPLOY 1 unit at 23:00. Issue penalties. Zone: BTP074 - Leprosy Hospital Junction
2024-04-09,Tue,0,750,724,1,15,3.0416666666666665,0.041666666666666664,11.0,5.196152422706632,17,0.679,1,No Junction,4.29,🟠 HIGH,12.992621775757575,77.65173555151515,🟠 HIGH,1,⚠️ DEPLOY 1 unit at 1:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,838,821,1,15,2.1666666666666665,0.16666666666666666,7.5,3.415650255319866,11,0.678,1,No Junction,2.83,🟡 MEDIUM,12.85432268,77.66211305,🟠 HIGH,4,⚠️ DEPLOY 1 unit at 4:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,543,494,1,15,2.2857142857142856,0.2857142857142857,4.714285714285714,3.401680257083045,9,0.677,1,BTP140 - Madiwala Check Post,5.88,🟠 HIGH,12.932813605405403,77.61339425675675,🟠 HIGH,6,⚠️ DEPLOY 1 unit at 6:00. Issue penalties. Zone: BTP140 - Madiwala Check Post
2024-04-09,Tue,0,3,223,1,15,2.357142857142857,0.35714285714285715,4.714285714285714,2.811540841738193,8,0.676,1,No Junction,6.79,🟠 HIGH,12.995898332598609,77.61378794118329,🟠 HIGH,9,⚠️ DEPLOY 1 unit at 9:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,717,687,1,15,2.857142857142857,0.0,2.0,1.4142135623730951,4,0.676,1,BTP104 - Medical College Circle,3.33,🟡 MEDIUM,12.9586995875,77.574114525,🟠 HIGH,0,⚠️ DEPLOY 1 unit at 0:00. Issue penalties. Zone: BTP104 - Medical College Circle
2024-04-09,Tue,0,674,639,1,15,2.5,0.0,1.4285714285714286,0.7867957924694432,3,0.675,1,No Junction,2.27,🟡 MEDIUM,12.90981375882353,77.68719387647059,🟠 HIGH,1,⚠️ DEPLOY 1 unit at 1:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,319,245,1,15,2.1770833333333335,0.17708333333333331,7.0,11.150485789118488,32,0.674,1,No Junction,4.89,🟠 HIGH,13.037024604054054,77.57457456216217,🟠 HIGH,5,⚠️ DEPLOY 1 unit at 5:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,443,383,1,15,8.310256410256411,0.14285714285714285,4.571428571428571,4.07664661444276,13,0.674,1,No Junction,5.27,🟠 HIGH,12.97944121875,77.6291956125,🟠 HIGH,2,⚠️ DEPLOY 1 unit at 2:00. Issue penalties. Zone: No Junction
