cluster,forecast_date,day_name,alert_level,spike_probability,top_junction,risk_score,risk_tier,center_lat,center_lon
359,2024-04-09,Tue,🔴 CRITICAL,0.839,No Junction,5.25,🟠 HIGH,12.885802814147416,77.64163450707079
522,2024-04-09,Tue,🔴 CRITICAL,0.839,"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",4.9,🟠 HIGH,12.917037131034482,77.57940409310343
278,2024-04-09,Tue,🔴 CRITICAL,0.836,"BTP186 - 9th Cross, 4th Main, Jayanagar",2.84,🟡 MEDIUM,12.940907666666666,77.58403085333333
610,2024-04-09,Tue,🔴 CRITICAL,0.836,No Junction,4.93,🟠 HIGH,12.876005676,77.616711854
651,2024-04-09,Tue,🔴 CRITICAL,0.836,No Junction,2.01,🟡 MEDIUM,13.028475490909091,77.58624163636364
691,2024-04-09,Tue,🔴 CRITICAL,0.836,No Junction,4.12,🟠 HIGH,12.988583031578948,77.47277393157894
247,2024-04-09,Tue,🔴 CRITICAL,0.834,No Junction,3.15,🟡 MEDIUM,12.993416007692309,77.57406268461538
425,2024-04-09,Tue,🔴 CRITICAL,0.834,No Junction,5.11,🟠 HIGH,13.049974378125,77.50769154375
634,2024-04-09,Tue,🔴 CRITICAL,0.834,No Junction,4.3,🟠 HIGH,13.00989165263158,77.50615011578948
368,2024-04-09,Tue,🔴 CRITICAL,0.833,BTP082 - KR Market Junction,4.79,🟠 HIGH,12.965166612280704,77.57924389473685
571,2024-04-09,Tue,🔴 CRITICAL,0.833,No Junction,2.99,🟡 MEDIUM,12.939555725,77.62561062500001
504,2024-04-09,Tue,🔴 CRITICAL,0.832,No Junction,5.94,🟠 HIGH,13.001067272413794,77.61226436896551
394,2024-04-09,Tue,🔴 CRITICAL,0.831,No Junction,6.07,🟠 HIGH,12.942375066666669,77.74723060694446
843,2024-04-09,Tue,🔴 CRITICAL,0.831,No Junction,2.44,🟡 MEDIUM,12.987951068181816,77.52033473636364
408,2024-04-09,Tue,🔴 CRITICAL,0.83,No Junction,2.83,🟡 MEDIUM,12.924428886666668,77.64996864666666
810,2024-04-09,Tue,🔴 CRITICAL,0.829,"BTP102 - BMTC Junction, KH Road",4.41,🟠 HIGH,12.9553719125,77.5919787
109,2024-04-09,Tue,🔴 CRITICAL,0.828,"BTP001 - 10th Cross, Dr. Rajkumar Road",6.2,🟠 HIGH,13.004425265506963,77.55350434000145
516,2024-04-09,Tue,🔴 CRITICAL,0.828,No Junction,4.36,🟠 HIGH,12.99511360625,77.6161899
183,2024-04-09,Tue,🔴 CRITICAL,0.827,No Junction,6.43,🟠 HIGH,12.990117613751991,77.5036200704
318,2024-04-09,Tue,🔴 CRITICAL,0.827,No Junction,5.84,🟠 HIGH,13.071246031111112,77.63372564
465,2024-04-09,Tue,🔴 CRITICAL,0.827,No Junction,2.71,🟡 MEDIUM,13.003795536111111,77.56923465833333
622,2024-04-09,Tue,🔴 CRITICAL,0.827,BTP138 - Sarjapur Road Check Post,4.1,🟠 HIGH,12.92585681764706,77.6172136882353
108,2024-04-09,Tue,🔴 CRITICAL,0.826,No Junction,5.94,🟠 HIGH,12.97370688782435,77.62294989021956
710,2024-04-09,Tue,🔴 CRITICAL,0.826,No Junction,2.75,🟡 MEDIUM,12.97253105625,77.51193140625
803,2024-04-09,Tue,🔴 CRITICAL,0.826,No Junction,3.42,🟡 MEDIUM,13.003531325,77.66277133970588
356,2024-04-09,Tue,🔴 CRITICAL,0.825,BTP105 - Shivasankara Circle,4.83,🟠 HIGH,12.958190206896552,77.57201557586207
582,2024-04-09,Tue,🔴 CRITICAL,0.825,BTP054 - Shivananda Circle,3.18,🟡 MEDIUM,12.987445758333337,77.57847541666666
283,2024-04-09,Tue,🔴 CRITICAL,0.824,BTP130 - GD Mara Junction,6.35,🟠 HIGH,12.907428370506912,77.60045970414745
841,2024-04-09,Tue,🔴 CRITICAL,0.824,"BTP024 - NPS, Vijayanagar",2.49,🟡 MEDIUM,12.984414388888888,77.5485788111111
33,2024-04-09,Tue,🔴 CRITICAL,0.823,No Junction,3.83,🟡 MEDIUM,13.008975970270267,77.75881793513513
261,2024-04-09,Tue,🔴 CRITICAL,0.823,No Junction,2.55,🟡 MEDIUM,13.019089721675112,77.53988271616306
372,2024-04-09,Tue,🔴 CRITICAL,0.823,No Junction,5.82,🟠 HIGH,13.022109736190476,77.53269273047619
510,2024-04-09,Tue,🔴 CRITICAL,0.823,No Junction,5.15,🟠 HIGH,13.081697045835805,77.54821351601763
231,2024-04-09,Tue,🔴 CRITICAL,0.822,No Junction,5.21,🟠 HIGH,13.002824412,77.526148756
576,2024-04-09,Tue,🔴 CRITICAL,0.822,No Junction,5.0,🟠 HIGH,12.922236472,77.6104673
240,2024-04-09,Tue,🔴 CRITICAL,0.821,No Junction,4.63,🟠 HIGH,12.941656385828262,77.56710424195849
669,2024-04-09,Tue,🔴 CRITICAL,0.821,"BTP001 - 10th Cross, Dr. Rajkumar Road",3.41,🟡 MEDIUM,13.006879507142855,77.554422
107,2024-04-09,Tue,🔴 CRITICAL,0.82,No Junction,4.94,🟠 HIGH,12.99548367075929,77.61037216284329
148,2024-04-09,Tue,🔴 CRITICAL,0.82,No Junction,4.92,🟠 HIGH,13.071650441964286,77.59316342410715
487,2024-04-09,Tue,🔴 CRITICAL,0.82,"BTP221 - 15th Cross, 24th Main, JP Nagar",5.07,🟠 HIGH,12.904784571428571,77.58568840000001
126,2024-04-09,Tue,🔴 CRITICAL,0.819,BTP010 - Rajajinagar Entrance,6.28,🟠 HIGH,12.982427547367813,77.56302792126392
566,2024-04-09,Tue,🔴 CRITICAL,0.819,No Junction,4.48,🟠 HIGH,12.968874042857143,77.57021359523809
269,2024-04-09,Tue,🔴 CRITICAL,0.818,No Junction,4.29,🟠 HIGH,12.958726382244873,77.6495459234375
600,2024-04-09,Tue,🔴 CRITICAL,0.818,No Junction,5.01,🟠 HIGH,12.959270248275862,77.65696959310344
657,2024-04-09,Tue,🔴 CRITICAL,0.818,BTP071 - Prasanna Junction,3.97,🟡 MEDIUM,12.975534625051155,77.55396421071069
664,2024-04-09,Tue,🔴 CRITICAL,0.818,No Junction,4.2,🟠 HIGH,12.89704347142857,77.63529947142858
385,2024-04-09,Tue,🔴 CRITICAL,0.817,BTP082 - KR Market Junction,2.97,🟡 MEDIUM,12.96778754375,77.57728885
484,2024-04-09,Tue,🔴 CRITICAL,0.817,No Junction,6.17,🟠 HIGH,12.956347076666669,77.73215914333333
517,2024-04-09,Tue,🔴 CRITICAL,0.817,No Junction,5.09,🟠 HIGH,12.947572902702705,77.53369218378378
638,2024-04-09,Tue,🔴 CRITICAL,0.817,No Junction,5.2,🟠 HIGH,12.918079902564102,77.67120747435898
804,2024-04-09,Tue,🔴 CRITICAL,0.817,No Junction,3.71,🟡 MEDIUM,12.906715744444444,77.63313833703704
229,2024-04-09,Tue,🔴 CRITICAL,0.816,No Junction,7.67,🔴 CRITICAL,13.121691096455224,77.6310843669776
512,2024-04-09,Tue,🔴 CRITICAL,0.816,No Junction,4.83,🟠 HIGH,12.973249043243245,77.61099812702702
409,2024-04-09,Tue,🔴 CRITICAL,0.815,No Junction,4.93,🟠 HIGH,12.91052491025641,77.62683390769232
435,2024-04-09,Tue,🔴 CRITICAL,0.815,No Junction,6.24,🟠 HIGH,12.940613014925374,77.52467731119404
720,2024-04-09,Tue,🔴 CRITICAL,0.815,No Junction,2.18,🟡 MEDIUM,12.9117472375,77.6822276625
776,2024-04-09,Tue,🔴 CRITICAL,0.815,No Junction,3.57,🟡 MEDIUM,12.985605492618046,77.52672813176471
812,2024-04-09,Tue,🔴 CRITICAL,0.815,No Junction,4.05,🟠 HIGH,12.98848795882353,77.6027898764706
223,2024-04-09,Tue,🔴 CRITICAL,0.814,No Junction,4.63,🟠 HIGH,12.985447194130844,77.47989199666667
523,2024-04-09,Tue,🔴 CRITICAL,0.814,No Junction,3.95,🟡 MEDIUM,13.12221190909091,77.61064905909092
578,2024-04-09,Tue,🔴 CRITICAL,0.814,No Junction,5.77,🟠 HIGH,13.046329612903223,77.5225468516129
671,2024-04-09,Tue,🔴 CRITICAL,0.814,No Junction,5.01,🟠 HIGH,12.979805508695652,77.5106104347826
761,2024-04-09,Tue,🔴 CRITICAL,0.814,No Junction,2.93,🟡 MEDIUM,13.019375384210528,77.70854604736842
766,2024-04-09,Tue,🔴 CRITICAL,0.814,No Junction,1.84,🟢 LOW,12.895000638525133,77.63601533016815
506,2024-04-09,Tue,🔴 CRITICAL,0.813,No Junction,3.27,🟡 MEDIUM,12.91827467254902,77.65173850196079
745,2024-04-09,Tue,🔴 CRITICAL,0.813,BTP052 - CID Carlton House Junction,4.59,🟠 HIGH,12.981644458620693,77.58832163793103
285,2024-04-09,Tue,🔴 CRITICAL,0.812,No Junction,5.71,🟠 HIGH,12.989153827777775,77.50785188444445
424,2024-04-09,Tue,🔴 CRITICAL,0.812,BTP085 - Briyand Circle,5.59,🟠 HIGH,12.96806131724138,77.57022611724138
66,2024-04-09,Tue,🔴 CRITICAL,0.811,No Junction,4.97,🟠 HIGH,12.928986436,77.609384332
383,2024-04-09,Tue,🔴 CRITICAL,0.811,No Junction,2.44,🟡 MEDIUM,12.992584454545456,77.65997386363637
782,2024-04-09,Tue,🔴 CRITICAL,0.811,No Junction,3.15,🟡 MEDIUM,12.90427098,77.67601655333333
849,2024-04-09,Tue,🔴 CRITICAL,0.811,"BTP025 - Puttamma Choultry, Nagarbhavi",2.84,🟡 MEDIUM,12.980077753333337,77.53829091333334
260,2024-04-09,Tue,🔴 CRITICAL,0.809,No Junction,5.88,🟠 HIGH,12.96429204247312,77.55095726612903
267,2024-04-09,Tue,🔴 CRITICAL,0.809,No Junction,3.73,🟡 MEDIUM,13.016211396153846,77.54988223653847
611,2024-04-09,Tue,🔴 CRITICAL,0.809,No Junction,3.06,🟡 MEDIUM,13.026166006896553,77.58556880344828
156,2024-04-09,Tue,🔴 CRITICAL,0.808,No Junction,5.39,🟠 HIGH,13.0569585689441,77.54719464099378
501,2024-04-09,Tue,🔴 CRITICAL,0.808,No Junction,6.1,🟠 HIGH,13.061203175,77.58728833181819
738,2024-04-09,Tue,🔴 CRITICAL,0.808,No Junction,1.34,🟢 LOW,12.991006266666666,77.5723879
827,2024-04-09,Tue,🔴 CRITICAL,0.808,BTP136 - Hosur-Tavarkere Road Junction,2.84,🟡 MEDIUM,12.936923506666666,77.61086733333333
52,2024-04-09,Tue,🔴 CRITICAL,0.807,No Junction,5.98,🟠 HIGH,12.90360982650767,77.70419515048037
82,2024-04-09,Tue,🔴 CRITICAL,0.807,"BTP210 - 50th cross, 12th Main , Rajajinagar",6.13,🟠 HIGH,12.986188012926828,77.55597750439024
213,2024-04-09,Tue,🔴 CRITICAL,0.807,"BTP015 - Suguna Hospital, Dr. Rajkumar Road",5.56,🟠 HIGH,12.988687368421052,77.55897524736842
463,2024-04-09,Tue,🔴 CRITICAL,0.807,No Junction,4.52,🟠 HIGH,12.887470221052633,77.73848478421053
771,2024-04-09,Tue,🔴 CRITICAL,0.807,"BTP177 - Aurobindo Circle, ORR",3.27,🟡 MEDIUM,12.916319726666666,77.58576674666666
135,2024-04-09,Tue,🔴 CRITICAL,0.806,No Junction,5.66,🟠 HIGH,13.045399838842975,77.50714708677687
301,2024-04-09,Tue,🔴 CRITICAL,0.806,"BTP191 - 40th Cross, 4th Main, Jayanagar",4.97,🟠 HIGH,12.919939396666669,77.58075173
355,2024-04-09,Tue,🔴 CRITICAL,0.806,No Junction,4.71,🟠 HIGH,12.924224439690043,77.67324754761977
532,2024-04-09,Tue,🔴 CRITICAL,0.806,No Junction,5.65,🟠 HIGH,12.947943583783784,77.53456858108107
633,2024-04-09,Tue,🔴 CRITICAL,0.806,No Junction,6.56,🟠 HIGH,12.942322563636363,77.54839966969696
187,2024-04-09,Tue,🔴 CRITICAL,0.805,No Junction,5.65,🟠 HIGH,12.925573835135136,77.63350005225224
237,2024-04-09,Tue,🔴 CRITICAL,0.804,No Junction,4.63,🟠 HIGH,12.889861381705275,77.63975277591848
570,2024-04-09,Tue,🔴 CRITICAL,0.804,No Junction,4.08,🟠 HIGH,12.955709243478262,77.72089669130435
806,2024-04-09,Tue,🔴 CRITICAL,0.804,BTP134 - Mico Bande,2.97,🟡 MEDIUM,12.94480508125,77.60277364375
97,2024-04-09,Tue,🔴 CRITICAL,0.803,No Junction,3.74,🟡 MEDIUM,12.89383759375,77.56780152708333
725,2024-04-09,Tue,🔴 CRITICAL,0.803,No Junction,2.32,🟡 MEDIUM,13.009253923076924,77.57118682307693
